production_case_id,source_case_id,particle_material,substrate_material,pair,impact_velocity_m_s,velocity_level_index,qualified_velocity_min_m_s,qualified_velocity_max_m_s,solve_reuse,case_gate_decision,ml_candidate,constitutive_review_flags,terminal_particle_volume_weighted_velocity_m_s,terminal_velocity_class,particle_axial_flattening_percent,normalized_crater_depth,particle_peeqvavg_p95,particle_peeqvavg_max,substrate_peeq_p95,substrate_peeq_max,maximum_peeq,particle_temperature_p95_k,particle_temperature_max_k,substrate_temperature_p95_k,substrate_temperature_max_k,particle_temperature_max_over_melt,substrate_temperature_max_over_melt,maximum_temperature_over_melt,peak_contact_pressure_pa,initial_kinetic_energy_j,final_allae_over_allie,eulerian_allae_over_allie,substrate_allae_over_allie,etotal_drift_over_initial_ke,final_over_initial_particle_material_volume,particle_material_volume_relative_change_abs,endpoint_over_first_boundary_return,terminal_time_s,frame_count,odb_file
MMCELP4_AL6061_SS304_V10,MMCELP3_AL6061_SS304_MID_EPD24_T080_DOM15_EBOT15,Al6061,SS304,Al6061->SS304,725.0,10,500.0,725.0,True,PASS_CEL_P4_CASE,True,,31.444728681368595,REBOUND,74.430824804356,0.053730568652099464,2.1979613304138184,2.3598601818084717,0.020744603127241135,0.3865893483161926,2.3598601818084717,610.4212036132812,641.3214721679688,301.4239196777344,419.06353759765625,0.6933205104518582,0.24650796329273897,0.6933205104518582,8295150080.0,1.4519556543746148e-06,0.04310931450774692,0.04934736964827875,0.005070144590629162,0.01529894170137862,1.0007087651923976,0.0007087651923975979,0.6143839293152475,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_AL6061_SS304_MID_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V00,MMCELP3_CU_CU_LOW_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,300.0,0,300.0,850.0,True,PASS_CEL_P4_CASE,True,,23.451065782531632,REBOUND,30.97533646372405,0.17695578208076768,0.9555360078811646,1.0809519290924072,0.1418847292661667,1.593936562538147,1.593936562538147,410.7657165527344,433.5928039550781,308.7518005371094,490.9577941894531,0.319758704981621,0.36206327005121913,0.36206327005121913,4025972992.0,8.250192422565306e-07,0.02914597998954726,0.04601889539289717,0.015146179221607619,0.0022019593366135013,1.0002792200165598,0.000279220016559778,0.4923003427517237,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_CU_CU_LOW_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V01,MMCELP4_CU_CU_V01_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,355.0,1,300.0,850.0,False,PASS_CEL_P4_CASE,True,,27.812176390067144,REBOUND,34.41923506462904,0.22774567696615122,1.1063930988311768,1.3112677335739136,0.21143202483654022,2.1794183254241943,2.1794183254241943,439.9275207519531,468.7227783203125,315.32489013671875,571.447021484375,0.34566576572294433,0.4214211072893621,0.4214211072893621,7086087680.0,1.1552560863492545e-06,0.03120191444946239,0.0534950801624653,0.01609602857099458,0.003017987077016338,1.0003767333319882,0.00037673333198817716,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V01_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V02,MMCELP4_CU_CU_V02_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,410.0,2,300.0,850.0,False,PASS_CEL_P4_CASE,True,,29.120214472964573,REBOUND,37.73277714641386,0.28203641704749316,1.272550344467163,1.5044366121292114,0.2848927080631256,2.6668031215667725,2.6668031215667725,468.0964050292969,513.696044921875,322.74102783203125,636.7523193359375,0.37883189153530605,0.46958135644243176,0.46958135644243176,14053585920.0,1.5409526668008766e-06,0.03295172932192206,0.06123515473609486,0.016315030292811394,0.003915860892909537,1.0003439456200571,0.0003439456200571289,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V02_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V03,MMCELP4_CU_CU_V03_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,465.0,3,300.0,850.0,False,PASS_CEL_P4_CASE,True,,30.943849284549174,REBOUND,40.681998957091935,0.33812932088039815,1.4287939071655273,1.671579360961914,0.3659149706363678,3.0481927394866943,3.0481927394866943,489.548828125,550.9423828125,331.3464660644531,686.5767822265625,0.4062996923396018,0.5063250606390579,0.5063250606390579,9065197568.0,1.9821088699245593e-06,0.035704616121899124,0.06924396376702895,0.01802389379844933,0.004902375213179791,1.0002039026919431,0.00020390269194314747,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V03_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V04,MMCELP4_CU_CU_V04_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,520.0,4,300.0,850.0,False,PASS_CEL_P4_CASE,True,,33.49750956958791,REBOUND,42.096496734127015,0.39495836972491816,1.5700541734695435,1.8113410472869873,0.45400765538215637,3.444002628326416,3.444002628326416,512.8462524414062,584.4381713867188,341.27471923828125,736.077880859375,0.4310016013176392,0.5428302956190081,0.5428302956190081,10304609280.0,2.4787245820334647e-06,0.03856521517593405,0.07807629812544989,0.01948654197877119,0.006252874592282599,1.0002658924595202,0.000265892459520245,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V04_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V05,MMCELP3_CU_CU_MID_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,575.0,5,300.0,850.0,True,PASS_CEL_P4_CASE,True,,35.87791412256284,REBOUND,41.43419130487329,0.4523328607319854,1.70257568359375,1.911607265472412,0.5468625426292419,3.8085405826568604,3.8085405826568604,532.1619262695312,600.699951171875,352.0181579589844,779.786865234375,0.4429940642860435,0.5750640599073562,0.5750640599073562,14577115136.0,3.0307999168144306e-06,0.0411509391139417,0.08558830184485995,0.02143009326655408,0.007291667213694876,1.000413704479857,0.0004137044798568912,0.4923003427517237,7.999999951380232e-08,41,jobs/verification/CEL_P3/MMCELP3_CU_CU_MID_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V06,MMCELP4_CU_CU_V06_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,630.0,6,300.0,850.0,False,PASS_CEL_P4_CASE,True,,37.84728553709725,REBOUND,38.59387581953518,0.5100997441331856,1.8036293983459473,2.066568374633789,0.6388731002807617,4.019776344299316,4.019776344299316,549.2127685546875,610.6246948242188,363.14825439453125,804.2699584960938,0.4503131967730227,0.5931194384189482,0.5931194384189482,16229382144.0,3.638334874267457e-06,0.043145269631951734,0.0916319394043733,0.023135540916573903,0.008075209638856598,1.0007597753249824,0.0007597753249823924,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V06_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V07,MMCELP4_CU_CU_V07_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,685.0,7,300.0,850.0,False,PASS_CEL_P4_CASE,True,,39.07568426236323,REBOUND,34.334759829016825,0.5688592500519007,1.8953378200531006,2.2048239707946777,0.7397428154945374,4.2041120529174805,4.2041120529174805,563.8683471679688,623.776123046875,375.6871032714844,825.1095581054688,0.46001189015256266,0.6084878747090477,0.6084878747090477,17889632256.0,4.3013296817662194e-06,0.0455142835519857,0.09929732338353639,0.02486956770371369,0.008736907853532887,1.0007556225000154,0.0007556225000153738,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V07_EPD24_T080_DOM15_EBOT15.odb
MMCELP4_CU_CU_V08,MMCELP4_CU_CU_V08_EPD24_T080_DOM15_EBOT15,Cu,Cu,Cu->Cu,740.0,8,300.0,850.0,False,PASS_CEL_P4_CASE,True,,40.81829240866014,REBOUND,29.613843304041076,0.6292339821811765,1.971268892288208,2.3506662845611572,0.8363637924194336,4.428956031799316,4.428956031799316,572.3997802734375,631.1611328125,387.9222717285156,849.6636962890625,0.46545806254609146,0.626595646230872,0.626595646230872,17817989120.0,5.0197836571896914e-06,0.04724575061173627,0.10706736095300722,0.025870358261323247,0.009447285127372342,1.000720676090769,0.0007206760907689791,0.4923003427517237,7.999999951380232e-08,41,jobs/production/CEL_P4/MMCELP4_CU_CU_V08_EPD24_T080_DOM15_EBOT15.odb
