model,regime,production_case_id,pair,particle_material,substrate_material,impact_velocity_m_s,velocity_level_index,constitutive_review_flags,case_gate_decision,solve_reuse,terminal_particle_volume_weighted_velocity_m_s__actual,terminal_particle_volume_weighted_velocity_m_s__predicted,terminal_particle_volume_weighted_velocity_m_s__residual,particle_axial_flattening_percent__actual,particle_axial_flattening_percent__predicted,particle_axial_flattening_percent__residual,normalized_crater_depth__actual,normalized_crater_depth__predicted,normalized_crater_depth__residual,particle_peeqvavg_p95__actual,particle_peeqvavg_p95__predicted,particle_peeqvavg_p95__residual,substrate_peeq_p95__actual,substrate_peeq_p95__predicted,substrate_peeq_p95__residual,particle_temperature_max_k__actual,particle_temperature_max_k__predicted,particle_temperature_max_k__residual,substrate_temperature_max_k__actual,substrate_temperature_max_k__predicted,substrate_temperature_max_k__residual,maximum_temperature_over_melt__actual,maximum_temperature_over_melt__predicted,maximum_temperature_over_melt__residual,peak_contact_pressure_pa__actual,peak_contact_pressure_pa__predicted,peak_contact_pressure_pa__residual
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V00,Al6061->SS304,Al6061,SS304,500.0,0,,PASS_CEL_P4_CASE,True,18.043974421140515,21.599641379016816,3.5556669578763014,45.920668854891936,50.08530106110904,4.1646322062171,0.0242738747147086,0.0268837566466087,0.0026098819319001,1.668180227279663,1.7871098797023377,0.1189296524226746,0.0046868380159139,0.0060284720017797,0.0013416339858658,573.2646484375,581.4446756744377,8.18002723693769,346.1105651855469,351.0788140487673,4.968248863220424,0.6197455658783784,0.6284822057911801,0.0087366399128017,4404755456.0,4576966886.399937,172211430.39993668
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V01,Al6061->SS304,Al6061,SS304,522.5,1,,PASS_CEL_P4_CASE,False,21.591865991018583,22.47546861611588,0.8836026250972928,50.10490815246885,50.0276788621902,-0.0772292902786517,0.0266323650066624,0.0270134434515505,0.0003810784448881,1.7879618406295776,1.7386843365430795,-0.0492775040864981,0.005771396216005,0.0058567031344827,8.530691847777674e-05,581.5857543945312,580.854388275148,-0.7313661193832104,350.8030090332031,351.82209228516547,1.0190832519623427,0.628741356102196,0.6279506900271853,-0.0007906660750106,4573826560.0,4435692003.840009,-138134556.15999126
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V02,Al6061->SS304,Al6061,SS304,545.0,2,,PASS_CEL_P4_CASE,False,26.525303023965247,27.124548845398607,0.5992458214333602,53.78097508895565,53.88551675288461,0.1045416639289626,0.0295170684694312,0.0292129924048369,-0.0003040760645942,1.8031163215637207,1.7190200090408294,-0.0840963125228912,0.0069258143194019,0.0070128270849814,8.701276557959367e-05,587.7904663085938,580.8156653594967,-6.974800949097016,357.0417175292969,357.83906219483083,0.7973446655339558,0.6354491527660473,0.6279088274156733,-0.0075403253503739,4463964160.0,4727103530.880086,263139370.88008595
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V03,Al6061->SS304,Al6061,SS304,567.5,3,,PASS_CEL_P4_CASE,False,32.4137395448175,31.971028010543,-0.4427115342745011,57.49974160071498,57.3077579244695,-0.1919836762454778,0.0316800469590816,0.0318479911754824,0.0001679442164007,1.653112292289734,1.7841974139213592,0.1310851216316251,0.0081996228545904,0.0081547441415029,-4.487871308740503e-05,580.0794677734375,586.174178314207,6.094710540769484,364.5654602050781,363.5696810913038,-0.995779113774347,0.6271129381334459,0.6337018143937397,0.0065888762602938,4873634816.0,4759083819.519959,-114550996.4800415
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V04,Al6061->SS304,Al6061,SS304,590.0,4,,PASS_CEL_P4_CASE,False,38.05064691090263,37.57140179153976,-0.4792451193628722,61.24506574612736,61.00747551183012,-0.2375902342972367,0.034450238217687,0.0348296128152016,0.0003793745975146,1.7630763053894043,1.7595203652977984,-0.0035559400916058,0.0095267239958047,0.0097172548994446,0.0001905309036399,584.3697509765625,585.2562683105456,0.886517333983079,370.8575134277344,370.8777591705302,0.0202457427958506,0.6317510821368243,0.6327094792546454,0.000958397117821,5088556032.0,5328374540.800004,239818508.800004
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V05,Al6061->SS304,Al6061,SS304,612.5,5,,PASS_CEL_P4_CASE,False,42.47747075793358,41.28460324048969,-1.1928675174438936,64.34410045167118,64.00681614838061,-0.3372843032905734,0.0378255413124861,0.0377498178664807,-7.572344600532965e-05,1.8607378005981443,1.841891279220579,-0.0188465213775652,0.0111608561128377,0.0111575296858775,-3.3264269601231827e-06,590.1805419921875,590.537862243652,0.3573202514644436,376.8821411132813,377.1039966964741,0.2218555831927346,0.6380330183699324,0.6384193105336781,0.0003862921637456,5760931840.0,5555123644.15998,-205808195.84002015
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V06,Al6061->SS304,Al6061,SS304,635.0,6,,PASS_CEL_P4_CASE,False,44.56743548437754,43.000463127925656,-1.5669723564518847,66.81030585142365,66.67966687164234,-0.1306389797813096,0.041099265217781,0.0406304179762146,-0.0004688472415663,1.9218974113464355,1.9003529325127624,-0.0215444788336729,0.0128129823133349,0.0128526848251969,3.970251186209695e-05,596.7991943359375,596.4307537841794,-0.3684405517581126,383.4448852539063,385.12161987304887,1.6767346191425645,0.6451883182010135,0.644790004091005,-0.0003983141100085,6028742656.0,6288781638.399979,260038982.39997864
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V07,Al6061->SS304,Al6061,SS304,657.5,7,,PASS_CEL_P4_CASE,False,43.51825159373853,42.3487788919816,-1.1694727017569306,68.99199382474796,68.93334947124669,-0.058644353501279,0.0434073854194139,0.0441935344497319,0.000786149030318,1.939573884010315,1.9260213994979871,-0.0135524845123278,0.0145276794210076,0.0146481303079054,0.0001204508868978,602.6187744140625,605.0608636474609,2.4420892333984057,393.2791137695313,391.50739334106095,-1.7717204284703598,0.6514797561233108,0.6541198525918493,0.0026400964685385,6811379200.0,6792720747.520008,-18658452.479991917
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V08,Al6061->SS304,Al6061,SS304,680.0,8,,PASS_CEL_P4_CASE,False,40.17405609349533,39.6199254685338,-0.5541306249615303,71.01435262335012,70.99517916370257,-0.019173459647547,0.0472265310236252,0.0470706077976497,-0.0001559232259754,1.9300637245178225,1.9656866300106015,0.0356229054927792,0.0164469387382268,0.0165829060133555,0.0001359672751287,613.158935546875,618.1482495117185,4.989313964843518,399.4102478027344,399.78052429199226,0.3702764892578898,0.6628745249155406,0.6682683778505067,0.0053938529349661,7541570560.0,7406650286.079988,-134920273.92001152
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V09,Al6061->SS304,Al6061,SS304,702.5,9,,PASS_CEL_P4_CASE,False,35.874474877651444,36.09309552832587,0.2186206506744241,72.91980821485562,72.61155336797016,-0.3082548468854611,0.0505901743963477,0.0502671686149358,-0.0003230057814118,1.9907753467559808,2.055305855274194,0.0645305085182126,0.0185575354844331,0.018456096840089,-0.000101438644344,633.0687255859375,626.3249214172362,-6.743804168701331,406.0269775390625,408.5981607818594,2.5711832427969057,0.6843986222550675,0.6771080231537688,-0.0072905991012987,7978577408.0,7893868985.600029,-84708422.39997101
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_AL6061_SS304_V10,Al6061->SS304,Al6061,SS304,725.0,10,,PASS_CEL_P4_CASE,True,31.444728681368595,35.874474877650854,4.42974619628226,74.430824804356,72.91980821485495,-1.511016589501054,0.0537305686520994,0.0505901743963465,-0.0031403942557528,2.1979613304138184,1.990775346755978,-0.2071859836578404,0.0207446031272411,0.0185575354844295,-0.0021870676428115,641.3214721679688,633.0687255859377,-8.252746582031023,419.06353759765625,406.02697753907046,-13.036560058585792,0.6933205104518582,0.6843986222550675,-0.0089218881967906,8295150080.0,7978577407.999975,-316572672.0000248
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V00,Cu->Cu,Cu,Cu,300.0,0,,PASS_CEL_P4_CASE,True,23.451065782531632,27.79662561406853,4.3455598315369,30.97533646372405,34.45844924734869,3.4831127836246374,0.1769557820807676,0.2272428936862522,0.0502871116054846,0.9555360078811646,1.1080970206856706,0.152561012804506,0.1418847292661667,0.2109178732649892,0.0690331439988225,433.5928039550781,469.00493576049575,35.41213180541763,490.9577941894531,570.8954114532436,79.93761726379046,0.3620632700512191,0.4219394079113909,0.0598761378601718,4025972992.0,7079807027.20004,3053834035.20004
ExtraTrees,pair_aware_velocity_interpolation,MMCELP4_CU_CU_V01,Cu->Cu,Cu,Cu,355.0,1,,PASS_CEL_P4_CASE,False,27.812176390067144,26.15808428221308,-1.654092107854062,34.41923506462904,34.202014389708395,-0.2172206749206466,0.2277456769661512,0.227131785277379,-0.0006138916887721,1.1063930988311768,1.106910353600976,0.0005172547697991,0.2114320248365402,0.2101710391417146,-0.0012609856948256,468.7227783203125,471.84210151672426,3.119323196411756,571.447021484375,560.5746799469023,-10.87234153747272,0.4214211072893621,0.4134031563030251,-0.008017950986337,7086087680.0,8814158165.11998,1728070485.11998
