gate,observed,threshold,observed_over_threshold
ALLAE/ALLIE,0.0494743212202752,0.05,0.989486424405504
|ΔETOTAL|/KE$_0$,0.0152989417013786,0.02,0.7649470850689299
Volume change,0.0025199169127767,0.01,0.25199169127766996
Boundary return,0.6734279485205487,0.8,0.8417849356506858
Maximum $T/T_m$,0.999966000125616,1.0,0.999966000125616
