model,regime,target,r2,mae,rmse,nrmse,mean_r2,mean_nrmse
RidgeCV,pair_aware_velocity_interpolation,terminal_particle_volume_weighted_velocity_m_s,0.9921120104033823,4.809928555864502,5.887202881561868,0.02968743856189197,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,particle_axial_flattening_percent,0.977745250428051,1.6550578527222213,2.381171853550251,0.04149424781727366,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,normalized_crater_depth,0.9891512441916119,0.014854567564098755,0.020216120694889622,0.02786972871200611,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,particle_peeqvavg_p95,0.9827492894601388,0.0541246273828218,0.07060695072179995,0.04190127828346192,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,substrate_peeq_p95,0.9917047385867539,0.017523013989616133,0.024129557217712094,0.023439785198743523,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,particle_temperature_max_k,0.9766718066263307,21.558728411694673,30.232813181865442,0.03584556873725756,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,substrate_temperature_max_k,0.9563981720058569,75.01605218114389,119.39575125136163,0.07547980058351819,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,maximum_temperature_over_melt,0.902117617803147,0.04061260489998381,0.060736225904655175,0.09258529430520518,0.9578996875585375,0.05222127432722197
RidgeCV,pair_aware_velocity_interpolation,peak_contact_pressure_pa,0.8524470585215644,1192468408.1142282,1749818181.8941112,0.10168832674563962,0.9578996875585375,0.05222127432722197
RidgeCV,leave_one_pair_out_boundary_audit,terminal_particle_volume_weighted_velocity_m_s,-2.368847504296285,88.61331385631817,121.6652391566048,0.6135221403515412,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,particle_axial_flattening_percent,-10.286743460190062,31.915211707362758,53.6245562702485,0.934460326184126,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,normalized_crater_depth,-15.56365829131612,0.47566091077014666,0.7899252313124439,1.0889825121103276,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,particle_peeqvavg_p95,-7.179275368215194,1.0545900427016426,1.537451331807088,0.912391420996996,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,substrate_peeq_p95,-12.845614653521274,0.5626361340781613,0.9858036784805986,0.957623310831205,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,particle_temperature_max_k,-1.539831178663134,273.16893437503546,315.4571913040258,0.37402217142443733,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,substrate_temperature_max_k,-52.63863557319786,2372.4610036534023,4187.698292134302,2.6473859302479332,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,maximum_temperature_over_melt,-47.00570223869716,0.7705660613720311,1.3450609057070204,2.0503885112783307,-17.043181274482613,1.1298187887017628
RidgeCV,leave_one_pair_out_boundary_audit,peak_contact_pressure_pa,-3.9603232022464283,5732433384.399388,10145512178.583035,0.5895927748909681,-17.043181274482613,1.1298187887017628
RandomForest,pair_aware_velocity_interpolation,terminal_particle_volume_weighted_velocity_m_s,0.9795750531576402,6.09846704687387,9.473409385256213,0.047771626824219725,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,particle_axial_flattening_percent,0.9745006285602126,1.8316073468415524,2.5488490855798585,0.0444161875373226,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,normalized_crater_depth,0.9650452223839697,0.022192974645487504,0.036287840714534815,0.05002603078612541,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,particle_peeqvavg_p95,0.9636727152685672,0.06928165827962514,0.10246143433013827,0.060805133620707864,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,substrate_peeq_p95,0.9543532134848753,0.030732011336014945,0.0566029959646298,0.05498493217448561,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,particle_temperature_max_k,0.9519749704946086,30.030258008783576,43.378230014445165,0.05143144689611782,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,substrate_temperature_max_k,0.9730388373372892,57.75379255121491,93.88707999267343,0.059353687220381667,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,maximum_temperature_over_melt,0.9474230114115009,0.026414033657172854,0.044513668828186505,0.0678558976570555,0.9438793928860386,0.062144334293928044
RandomForest,pair_aware_velocity_interpolation,peak_contact_pressure_pa,0.7853308838756834,1398809783.010908,2110589499.44709,0.12265406592893624,0.9438793928860386,0.062144334293928044
RandomForest,leave_one_pair_out_boundary_audit,terminal_particle_volume_weighted_velocity_m_s,0.19217207845807682,50.477032865385496,59.57791052592869,0.3004339401864076,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,particle_axial_flattening_percent,-0.32727690874766924,12.542952523373684,18.38908642811145,0.3204478115444083,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,normalized_crater_depth,-0.2520032810376205,0.19098450916627288,0.2171753791114267,0.299395664980006,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,particle_peeqvavg_p95,-0.1303652749886588,0.446057172176061,0.5715488640430094,0.3391823008930553,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,substrate_peeq_p95,-0.2086690778057445,0.23129575264701907,0.2912648117877656,0.28293866160321623,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,particle_temperature_max_k,0.008599443558155673,175.27387486197725,197.08909090365543,0.23367890089660093,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,substrate_temperature_max_k,0.16560795950038598,443.18855627002085,522.3018933280899,0.33018966202407996,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,maximum_temperature_over_melt,0.28374754476910236,0.14146862682478287,0.16429660843018348,0.2504510219112857,0.007250465989089923,0.28587206119311875
RandomForest,leave_one_pair_out_boundary_audit,peak_contact_pressure_pa,0.3334417101957815,2891326829.372122,3719101713.7626753,0.21613058669900884,0.007250465989089923,0.28587206119311875
ExtraTrees,pair_aware_velocity_interpolation,terminal_particle_volume_weighted_velocity_m_s,0.9969438756519211,1.9666584465859593,3.6644715000076276,0.018478855698857623,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,particle_axial_flattening_percent,0.9939101949762229,0.723600133305715,1.2456071102098043,0.02170592182875934,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,normalized_crater_depth,0.9943316394759913,0.0067685343275056264,0.014612905885512718,0.020145196443463378,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,particle_peeqvavg_p95,0.9884577896400694,0.033675528898496065,0.05775484927428898,0.03427427451436737,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,substrate_peeq_p95,0.9940747901642326,0.008374642975673613,0.02039323772048732,0.0198102728268986,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,particle_temperature_max_k,0.982080690713062,16.705975312319698,26.497118002236313,0.031416337572518986,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,substrate_temperature_max_k,0.9946995329473366,21.793110218916,41.62877138757504,0.026316944530596922,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,maximum_temperature_over_melt,0.9862908603020297,0.012803393211410018,0.02273006290042337,0.03464933047560706,0.9694101141023859,0.03633086091149302
ExtraTrees,pair_aware_velocity_interpolation,peak_contact_pressure_pa,0.793901653050608,1376633935.243638,2068027184.2903767,0.12018061431236784,0.9694101141023859,0.03633086091149302
